protocol_id,model_name,step,start_s,end_s,action,action_family,expected_motion,observed_motion,action_motion_match,mad_2s,motion_threshold,ref_mad_before,ref_mad_after,best_shift_x,best_shift_y,best_shift_mse,target_visible_after_label,distance_after_label,yaw_after_label,lateral_after_label,video_hash,video_path
huaiqiu_mcts_01_multi_glance_yaw_right_return,matrix_game3,0,0.0,2.0,HOLD,hold,False,False,True,1.032,16.333,0.0,1.032,0,0,1.958,True,0.0,0.0,0.0,7ff9f19b105e97b69c959eab91e2a652,runs/huaiqiu_mcts_01_multi_glance_yaw_right_return/matrix_game3/video.mp4
huaiqiu_mcts_01_multi_glance_yaw_right_return,matrix_game3,1,2.0,4.0,HOLD,hold,False,False,True,1.686,16.333,1.032,1.932,0,0,4.283,True,0.0,0.0,0.0,7ff9f19b105e97b69c959eab91e2a652,runs/huaiqiu_mcts_01_multi_glance_yaw_right_return/matrix_game3/video.mp4
huaiqiu_mcts_01_multi_glance_yaw_right_return,matrix_game3,2,4.0,6.0,HOLD,hold,False,True,False,37.388,16.333,1.932,37.47,-2,0,2438.26,True,0.0,0.0,0.0,7ff9f19b105e97b69c959eab91e2a652,runs/huaiqiu_mcts_01_multi_glance_yaw_right_return/matrix_game3/video.mp4
huaiqiu_mcts_01_multi_glance_yaw_right_return,matrix_game3,3,6.0,8.0,YAW_R,yaw,True,True,True,36.493,16.333,37.47,39.561,2,0,2412.882,False,0.0,45.0,0.0,7ff9f19b105e97b69c959eab91e2a652,runs/huaiqiu_mcts_01_multi_glance_yaw_right_return/matrix_game3/video.mp4
huaiqiu_mcts_01_multi_glance_yaw_right_return,matrix_game3,4,8.0,10.0,HOLD,hold,False,False,True,1.181,16.333,39.561,39.648,0,0,2.678,False,0.0,45.0,0.0,7ff9f19b105e97b69c959eab91e2a652,runs/huaiqiu_mcts_01_multi_glance_yaw_right_return/matrix_game3/video.mp4
huaiqiu_mcts_01_multi_glance_yaw_right_return,matrix_game3,5,10.0,12.0,HOLD,hold,False,False,True,1.124,16.333,39.648,39.408,0,0,2.363,False,0.0,45.0,0.0,7ff9f19b105e97b69c959eab91e2a652,runs/huaiqiu_mcts_01_multi_glance_yaw_right_return/matrix_game3/video.mp4
huaiqiu_mcts_01_multi_glance_yaw_right_return,matrix_game3,6,12.0,14.0,HOLD,hold,False,True,False,34.657,16.333,39.408,39.858,0,0,2303.826,False,0.0,45.0,0.0,7ff9f19b105e97b69c959eab91e2a652,runs/huaiqiu_mcts_01_multi_glance_yaw_right_return/matrix_game3/video.mp4
huaiqiu_mcts_01_multi_glance_yaw_right_return,matrix_game3,7,14.0,16.0,YAW_L,yaw,True,True,True,39.058,16.333,39.858,16.786,-2,0,2492.79,True,0.0,0.0,0.0,7ff9f19b105e97b69c959eab91e2a652,runs/huaiqiu_mcts_01_multi_glance_yaw_right_return/matrix_game3/video.mp4
huaiqiu_mcts_01_multi_glance_yaw_right_return,matrix_game3,8,16.0,18.0,HOLD,hold,False,False,True,1.462,16.333,16.786,16.985,0,0,4.005,True,0.0,0.0,0.0,7ff9f19b105e97b69c959eab91e2a652,runs/huaiqiu_mcts_01_multi_glance_yaw_right_return/matrix_game3/video.mp4
huaiqiu_mcts_01_multi_glance_yaw_right_return,matrix_game3,9,18.0,20.0,HOLD,hold,False,True,False,33.572,16.333,16.985,35.282,0,-6,1974.457,True,0.0,0.0,0.0,7ff9f19b105e97b69c959eab91e2a652,runs/huaiqiu_mcts_01_multi_glance_yaw_right_return/matrix_game3/video.mp4
huaiqiu_mcts_01_multi_glance_yaw_right_return,matrix_game3,10,20.0,22.0,BACK,translate,True,True,True,27.599,16.333,35.282,33.426,0,-4,1436.365,True,0.42,0.0,0.0,7ff9f19b105e97b69c959eab91e2a652,runs/huaiqiu_mcts_01_multi_glance_yaw_right_return/matrix_game3/video.mp4
huaiqiu_mcts_01_multi_glance_yaw_right_return,matrix_game3,11,22.0,24.0,BACK,translate,True,True,True,21.176,16.333,33.426,36.403,2,6,903.576,True,0.84,0.0,0.0,7ff9f19b105e97b69c959eab91e2a652,runs/huaiqiu_mcts_01_multi_glance_yaw_right_return/matrix_game3/video.mp4
huaiqiu_mcts_01_multi_glance_yaw_right_return,matrix_game3,12,24.0,26.0,BACK,translate,True,True,True,20.093,16.333,36.403,39.139,-6,2,603.215,True,1.26,0.0,0.0,7ff9f19b105e97b69c959eab91e2a652,runs/huaiqiu_mcts_01_multi_glance_yaw_right_return/matrix_game3/video.mp4
huaiqiu_mcts_01_multi_glance_yaw_right_return,matrix_game3,13,26.0,28.0,BACK,translate,True,True,True,26.055,16.333,39.139,39.755,10,0,1247.516,True,1.68,0.0,0.0,7ff9f19b105e97b69c959eab91e2a652,runs/huaiqiu_mcts_01_multi_glance_yaw_right_return/matrix_game3/video.mp4
huaiqiu_mcts_01_multi_glance_yaw_right_return,matrix_game3,14,28.0,30.0,YAW_R,yaw,True,True,True,32.376,16.333,39.755,45.374,10,4,1543.385,False,1.68,45.0,0.0,7ff9f19b105e97b69c959eab91e2a652,runs/huaiqiu_mcts_01_multi_glance_yaw_right_return/matrix_game3/video.mp4
huaiqiu_mcts_01_multi_glance_yaw_right_return,matrix_game3,15,30.0,32.0,HOLD,hold,False,False,True,1.801,16.333,45.374,46.333,0,0,5.382,False,1.68,45.0,0.0,7ff9f19b105e97b69c959eab91e2a652,runs/huaiqiu_mcts_01_multi_glance_yaw_right_return/matrix_game3/video.mp4
huaiqiu_mcts_01_multi_glance_yaw_right_return,matrix_game3,16,32.0,34.0,HOLD,hold,False,False,True,1.396,16.333,46.333,46.976,0,0,3.039,False,1.68,45.0,0.0,7ff9f19b105e97b69c959eab91e2a652,runs/huaiqiu_mcts_01_multi_glance_yaw_right_return/matrix_game3/video.mp4
huaiqiu_mcts_01_multi_glance_yaw_right_return,matrix_game3,17,34.0,36.0,HOLD,hold,False,False,True,1.316,16.333,46.976,47.449,0,0,2.833,False,1.68,45.0,0.0,7ff9f19b105e97b69c959eab91e2a652,runs/huaiqiu_mcts_01_multi_glance_yaw_right_return/matrix_game3/video.mp4
huaiqiu_mcts_01_multi_glance_yaw_right_return,matrix_game3,18,36.0,38.0,HOLD,hold,False,False,True,1.231,16.333,47.449,47.804,0,0,2.612,False,1.68,45.0,0.0,7ff9f19b105e97b69c959eab91e2a652,runs/huaiqiu_mcts_01_multi_glance_yaw_right_return/matrix_game3/video.mp4
huaiqiu_mcts_01_multi_glance_yaw_right_return,matrix_game3,19,38.0,40.0,HOLD,hold,False,False,True,0.952,16.333,47.804,47.825,0,0,1.667,False,1.68,45.0,0.0,7ff9f19b105e97b69c959eab91e2a652,runs/huaiqiu_mcts_01_multi_glance_yaw_right_return/matrix_game3/video.mp4
